date,nom_fichier,reseau,statut,ancienne_maj,nouvelle_maj
2026-08-24,Nice_GTFS.zip,Lignes d'Azur,mis_a_jour,,20261015
2026-08-24,Nice_gtfs.zip,Lignes d'Azur,mis_a_jour,,20261015
2026-08-24,Nimes_gtfs-production.zip,TANGO,mis_a_jour,,20261217
2026-08-24,Niort-aggregated-gtfs.zip,Tanlib (Niort),mis_a_jour,,20260827
2026-08-24,Orleans_gtfs.zip,TAO (Orléans),mis_a_jour,,20261217
2026-08-24,Pau_GTFS.zip,IDELIS (Pau),mis_a_jour,,20270101
2026-08-24,Perigueux-aggregated-gtfs.zip,Périmouv (Grand Perigueux),mis_a_jour,,20261217
2026-08-24,Perpignan.gtfs.zip,Sankéo,mis_a_jour,,20260827
2026-08-24,Poitiers_gtfs.zip,VITALIS (Grand Poitiers) - FLEX'E-BUS (Grand Poitiers),mis_a_jour,,20261015
2026-08-24,Reims.GTFS.zip,Transdev Reims,mis_a_jour,,20261015
2026-08-24,Rennes_GTFS_STAR_BUS_METRO_EN_COURS.zip,STAR,mis_a_jour,,20260827
2026-08-24,SaintEtienne_STAS.GTFS.zip,SAINT-ETIENNE – STAS,mis_a_jour,,20261015
2026-08-24,Saumur_gtfs_imported-id_saumur.zip,saumuragglobus,mis_a_jour,,20260702
2026-08-24,Strasbourg_google_transit.zip,CTS,mis_a_jour,,20270211
2026-08-24,Toulon_gtfs-complet.zip,Réseau Mistral - Téléphérique Faron,mis_a_jour,,20261015
2026-08-24,Toulouse_tisseo_gtfs_v2_r5py.zip,Tisséo,mis_a_jour,,20260917
2026-08-24,Tours_filbleu_gtfs14.zip,Fil Bleu (Tours),mis_a_jour,,20261217
2026-08-24,Valence_gtfs-citea-20260517-20260628.zip,Valence Romans Mobilités,mis_a_jour,,20260625
2026-08-24,Valenciennes_google-transit.zip,Transvilles,mis_a_jour,,20261217
2026-08-24,Vannes_GTFS.zip,Kicéo,mis_a_jour,,20270701
